refArea,Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Observation URI,references,publisher,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,dataset
https://dbpedia.org/resource/Mount_Lebanon_Governorate,4.9e+01,5.1e+01,1.1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-+Bireh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1.2e+01,0, Bireh,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,A'ain El-Mir (El Establ),0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Akkar_Governorate,7e+01,3e+01,3.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3.5e+01,0,AAridet Cheikh Zennad,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/North_Governorate,5.3e+01,4.7e+01,8e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aaba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3e+00,0,Aaba,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,5e+01,5e+01,2.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3.5e+01,0,Aabadiyeh,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,5e+01,5e+01,6e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2e+01,0,Aabaydat,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabba,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aabba,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5.5e+01,4.5e+01,5e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2e+01,0,Aabbesiyyi,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/North_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabdine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,1,Aabdine,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5e+01,5e+01,2.5e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,1e+01,0,Aabra Saida,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/North_Governorate,5.2e+01,4.8e+01,2e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aabrine,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2e+01,0,Aabrine,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/North_Governorate,6e+01,4e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aachach,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,2.5e+01,0,Aachach,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
https://dbpedia.org/resource/Mount_Lebanon_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aachqout,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aachqout,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,5.5e+01,4.5e+01,1e+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aadaysseh+Marjaayoun,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,3.5e+01,0,Aadaysseh Marjaayoun,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aadchit+Ech-Chqif,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aadchit Ech-Chqif,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
http://dbpedia.org/resource/South_Governorate,0e+00,0e+00,0e+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Demography-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0e+00,0,Aadchit El-Qoussair,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Demography-Lebanon-2023
